sample_id,ADGRG1_T,AHNAK_T,BATF_T,BHLHE40_T,BIRC3_T,BTG2_T,C1orf162_T,CBLB_T,CCNH_T,CD38_T,CEMIP2_T,CEP135_T,CH25H_T,CITED2_T,CRYBG1_T,CST7_T,CTLA4_T,CTSL_T,DGKH_T,DTHD1_T,EGR1_T,ERN1_T,F2R_T,FASLG_T,GABARAPL1_T,GABPB1-AS1_T,GPRIN3_T,HECTD2_T,IER2_T,IL18R1_T,IL6ST_T,ISG20_T,ITK_T,JUN_T,JUNB_T,KIAA1217_T,KLF10_T,LCOR_T,MAGEH1_T,MIR4435-2HG_T,MTHFD2_T,NEAT1_T,NFKBIA_T,NR4A2_T,OGFRL1_T,PATL2_T,PMAIP1_T,PRDM1_T,PTPN13_T,RGS1_T,RNF19A_T,SAT1_T,SFMBT2_T,SH2B3_T,SLA_T,SLC2A3_T,SOCS3_T,SPON2_T,SYTL3_T,TAGAP_T,TGIF1_T,THADA_T,TNFAIP3_T,TNFRSF25_T,TSC22D3_T,TXNIP_T,ZFP36_T,ZFP36L1_T,TUBA3D_T,ADGRG1_Endo,ANGPTL4_Endo,AP3S2_Endo,APOLD1_Endo,ARHGAP30_Endo,ARRDC2_Endo,ATOH8_Endo,ATP7B_Endo,BDH1_Endo,BRWD3_Endo,CACHD1_Endo,CAVIN2_Endo,CDKN1A_Endo,CEMIP2_Endo,CLCN6_Endo,CNNM4_Endo,CORO7_Endo,CRACR2B_Endo,CREB5_Endo,CSRNP1_Endo,CST7_Endo,CX3CL1_Endo,CXCL9_Endo,CXCR3_Endo,CYR61_Endo,DDIT4_Endo,DUSP1_Endo,DUSP4_Endo,ERRFI1_Endo,EZH1_Endo,F2RL3_Endo,FKBP5_Endo,FPGT_Endo,H1F0_Endo,HBEGF_Endo,HID1_Endo,HIST1H2AC_Endo,ID1_Endo,ID3_Endo,IER2_Endo,IL6R_Endo,INHBB_Endo,ITPKC_Endo,ITPRIP_Endo,KCNN3_Endo,KLF2_Endo,KLF6_Endo,KLF8_Endo,LINC01089_Endo,MAFF_Endo,MMD_Endo,MYC_Endo,NEDD9_Endo,NR4A1_Endo,PDK4_Endo,PER1_Endo,PGPEP1_Endo,PHLDA1_Endo,PLA1A_Endo,PLA2R1_Endo,PLPP1_Endo,PRDM1_Endo,RCAN1_Endo,RHOB_Endo,SERPINE1_Endo,SGK1_Endo,SOX4_Endo,SPAAR_Endo,SPRY1_Endo,TCIM_Endo,TM7SF2_Endo,TSC22D3_Endo,TTL_Endo,UGCG_Endo,VMO1_Endo,WARS_Endo,ZBTB22_Endo,ZNF230_Endo,ZNF487_Endo,ZNF569_Endo,ZNF664_Endo,treatment,patient_id
BIOKEY_13_Pre,0.0,3165.9587,2088.0442,1204.8748,1415.704,655.74097,329.1111,856.9247,173.75658,0.0,707.2113,193.77908,0.0,211.68999,193.77908,202.30354,1742.9117,1174.0049,301.28638,0.0,176.12868,0.0,0.0,0.0,0.0,327.68643,968.2263,151.2188,1275.1362,388.41388,409.62012,2115.1606,1462.504,2620.164,9345.189,371.98303,194.6413,206.10014,724.3331,523.92926,580.83777,1134.2064,4356.402,1202.6587,0.0,108.53439,111.378746,0.0,318.12183,3006.857,2216.1719,1322.1145,0.0,176.12868,2685.6191,1480.2018,819.60016,0.0,275.70105,528.272,1349.4768,280.69626,2589.2827,2231.704,5474.709,1496.7854,3061.769,5987.295,0.0,992.91095,0.0,165.6215,291.77942,0.0,303.83932,375.2779,54.209873,25.084194,285.59885,482.7793,822.848,687.1535,1264.9414,220.19212,80.108864,92.34043,542.19025,92.89368,363.50055,38.41113,302.16907,10.434203,55.10044,411.3963,1655.6633,1579.4802,312.23126,37.16599,437.2559,166.00452,226.9704,104.219574,1070.5049,232.96304,470.17545,779.0598,3280.421,3317.8938,2203.8538,125.74734,195.55762,154.21815,348.54715,501.00958,1134.4543,1378.4905,569.7567,156.28963,262.97623,169.77388,775.48254,445.04623,299.68665,695.7932,221.14584,145.83469,225.72171,117.78808,129.6969,1660.901,151.58801,426.0179,1978.3632,291.08322,1119.0471,1446.6898,245.76234,1078.9854,1068.0571,9.68172,1680.2925,383.09186,851.772,36.73507,794.7366,61.342392,115.24687,81.74366,97.708855,405.63467,0,BIOKEY_13
BIOKEY_13_On,394.61026,1578.8204,2795.0093,736.7986,1928.3279,460.67838,0.0,2424.3567,1681.4448,0.0,2082.1094,0.0,0.0,1099.9178,2046.0457,1270.397,3915.146,0.0,460.67838,394.61026,0.0,0.0,394.61026,0.0,394.61026,1039.1298,1820.8712,338.98117,0.0,300.25827,4083.2964,2808.046,2241.1243,1283.5598,2171.3594,0.0,0.0,0.0,1649.5948,2004.5046,694.8686,3519.0464,5263.704,0.0,0.0,338.98117,457.93774,1370.1069,787.63336,4430.3354,3701.177,2388.509,0.0,0.0,4682.5776,1042.0149,0.0,460.67838,0.0,2045.2307,1578.3109,457.93774,3025.0793,2157.3958,4258.09,5710.595,3251.9524,4406.3223,0.0,1169.0974,94.191086,193.1086,1501.603,20.448696,604.3557,363.8957,50.601486,0.0,282.7251,535.4522,1352.3138,1045.0275,1522.3219,385.82974,97.18905,115.96473,247.97229,153.15733,1116.2133,0.0,328.82574,231.34183,0.0,488.97183,2075.3025,2491.9995,184.3878,377.91885,307.06378,431.56378,614.3153,89.27876,829.6743,194.40881,357.6024,540.91486,2296.9448,2394.2026,1773.4259,65.17261,581.8958,494.0664,821.7449,478.59674,1275.0868,1798.1232,484.4269,170.5003,430.27142,220.57924,1382.8917,773.67456,537.9393,1290.194,666.42316,121.824615,545.73016,344.3533,237.87502,1396.6932,218.62279,708.7407,1889.9899,635.5117,1320.0951,1189.8937,181.79222,2279.2573,1002.1373,45.275658,2092.5718,257.63428,1076.7806,0.0,938.3438,102.972084,67.62273,167.5878,52.113472,357.08347,1,BIOKEY_13
BIOKEY_10_Pre,1456.9789,1803.4988,1861.5559,2611.8074,1432.3514,1201.3706,37.841007,1373.103,539.75195,297.00873,715.2213,258.7231,5.77251,819.26447,147.33945,2661.4678,1469.5284,1260.9995,336.08353,82.97885,417.02466,165.18596,834.96246,1055.4,206.94391,594.52673,909.6953,289.22217,1816.7638,206.64491,412.6874,1087.3916,1091.2369,4380.978,4382.8003,158.69583,541.7176,349.44193,538.1184,1406.113,1365.7537,1703.4421,2430.4543,803.60254,34.432262,169.22151,134.55722,1083.6306,434.9635,2882.1052,1840.999,1565.7429,275.4672,34.62457,1933.2145,1550.2355,450.7106,126.588234,387.77917,277.57315,670.0124,386.35428,1973.5826,1479.4608,1660.058,1921.4141,1896.5833,5021.879,0.0,1241.6901,184.96004,156.4615,215.74353,90.58544,358.19107,158.6894,0.0,53.170383,155.12329,0.0,249.45248,279.5293,895.5731,149.96808,163.0292,0.0,298.96106,93.11667,124.50675,70.207275,751.5069,361.87308,74.0449,298.8205,944.4329,607.2096,524.52295,0.0,536.76984,214.01321,0.0,79.52998,782.1712,263.67847,425.73065,407.08817,2638.8704,2501.629,1579.1073,192.38591,294.6764,0.0,628.60895,719.6024,704.0249,993.67285,307.60928,551.36,0.0,0.0,156.51227,362.57617,529.53864,457.29965,67.247185,343.8675,94.99104,65.15703,170.41887,1172.5469,303.27762,246.65819,895.6663,253.68866,570.98444,1532.7972,358.26813,735.329,606.0722,146.77716,1038.9181,536.134,389.549,0.0,854.5488,177.1659,155.89296,149.13516,53.170383,453.97705,0,BIOKEY_10
BIOKEY_10_On,1675.5183,1419.3469,2548.1748,1729.4846,1505.5818,641.3796,64.73053,2302.619,818.6865,654.128,1622.6157,290.49023,224.21892,1394.4988,718.2127,3278.1443,2676.6492,280.42947,559.64124,242.9114,241.50658,655.3846,780.76587,400.15085,260.71863,989.1961,1272.2548,377.48434,1167.0421,229.9937,1625.8015,1526.6028,1174.2571,3309.2524,3555.2375,67.2126,118.1193,238.29648,437.8086,1827.0276,1858.089,2677.6917,3701.2898,461.2224,158.28206,269.13547,848.99567,2848.2788,913.4566,5018.5903,2080.7222,2240.687,456.7107,19.311884,3204.4426,1133.0145,320.06735,146.62155,925.46924,1074.9874,1538.7369,447.8283,2721.3044,1014.07184,4591.6514,3622.49,4332.005,3394.4495,105.68537,1295.2249,145.86531,77.44862,1589.5568,0.0,553.3087,155.05971,98.79866,0.0,126.07865,596.6662,652.32227,706.4447,1350.6289,243.3402,39.64542,99.85895,128.713,0.0,589.62146,76.68729,773.8942,471.37033,31.01494,1523.8333,2473.8835,2442.444,397.95352,39.992825,228.76419,747.12665,229.37083,228.86165,629.6866,661.5792,145.49295,404.83762,2138.2922,2240.6924,1683.1439,58.34426,339.9986,180.57901,1020.9061,550.7596,1973.7212,1494.7423,118.16149,423.0268,316.7036,62.336845,873.54205,1207.968,983.51654,395.50458,386.36887,95.274155,350.782,376.9769,150.69537,1568.6095,644.94836,971.8782,2165.583,532.37823,1865.8523,1051.7343,310.64038,2256.4067,1668.8582,0.0,1602.5697,326.93988,788.0803,0.0,1747.5266,143.56732,0.0,137.79323,137.45184,351.42618,1,BIOKEY_10
BIOKEY_16_Pre,644.16876,2057.7095,2112.12,1131.745,1703.812,868.909,290.63647,1553.8528,791.3521,689.6055,1348.8899,299.48584,16.267012,672.0197,646.0257,1270.4468,3100.7961,232.35631,525.7254,248.96805,182.06224,326.63644,393.40152,231.90395,100.34013,443.45813,1486.518,114.75999,1502.1101,236.87163,2243.6768,3768.247,1384.496,2000.9906,5882.5967,65.8248,87.22931,390.6271,440.704,1173.3478,1560.7352,1752.9738,3152.3374,1292.4607,69.97286,298.5178,457.00925,1172.0747,702.9815,3450.2366,1974.134,2799.6294,157.86871,72.27735,2287.8389,1843.2749,604.98065,315.71213,532.312,890.655,614.2394,525.45984,2376.7637,1428.6906,4508.629,2854.6272,2441.8284,4529.303,0.0,1101.5674,0.0,324.7717,647.0581,61.15919,684.2144,143.00342,135.43263,0.0,353.7108,245.80089,960.5473,840.4657,1726.7876,63.487408,168.30243,42.968624,172.07309,93.40151,523.72174,149.50514,786.18066,411.19968,50.17592,802.1933,2049.8667,1379.1322,527.5073,193.33304,388.43915,661.96735,596.54126,80.689125,611.43506,39.036,304.44073,688.2753,2501.493,2451.2144,1566.2432,101.548386,255.74228,340.98706,518.3395,911.86816,1690.8787,1552.4844,239.07683,231.56339,316.78302,157.00368,623.93384,918.8624,389.29645,448.62152,538.1226,165.27084,220.70381,585.32355,81.652145,1707.5981,302.6814,259.94876,2228.4448,1194.1978,1158.4323,1463.2178,206.11028,1716.9154,855.28033,41.753418,1613.892,277.83987,641.129,0.0,2054.3657,160.42012,239.7614,49.23208,79.30614,519.4085,0,BIOKEY_16
BIOKEY_16_On,912.59143,1436.232,2988.9307,817.0093,1803.657,522.13116,194.78928,1773.8451,991.96625,808.7434,1451.865,314.10233,305.32745,1507.3015,1053.1093,2010.6875,3007.8215,262.32062,496.40482,435.26416,140.27379,616.1592,593.40405,122.27972,144.9676,621.97675,1587.0972,520.3534,871.8336,313.69653,2836.493,3495.8428,1573.0148,1904.8234,3304.5938,57.029716,106.87217,248.53955,525.37115,1844.8008,1834.3832,2877.8218,4382.2666,357.68042,252.65778,354.79395,608.13306,2053.8994,898.4335,3995.3738,2514.5405,2773.26,305.3319,22.783798,3008.762,887.8588,276.28464,358.0772,824.9127,1367.6206,869.2225,574.8282,2744.723,995.414,4298.571,4096.065,3376.727,2484.6921,132.99846,1268.5854,306.0046,189.2265,1433.1589,0.0,567.6294,248.86765,134.98595,0.0,307.04675,242.72893,987.5782,892.44336,1498.7711,208.71922,37.38883,328.93002,260.2963,179.25345,631.985,67.61986,1319.6843,929.47955,0.0,1198.6692,2660.0764,2109.797,227.8417,203.99725,342.66956,931.3881,900.86084,144.2327,627.7518,168.32689,150.00217,265.48746,2472.415,2430.073,1339.1539,36.772785,300.92636,340.53766,1109.5637,517.64,1861.5731,1944.3224,270.75745,122.143105,327.23004,255.57677,948.4649,1291.7574,648.42505,396.9809,994.9969,31.607994,209.69948,1095.7205,163.65254,2177.1167,231.723,620.6014,2401.419,1115.5966,1559.243,1064.4064,301.9691,2035.211,1243.1122,0.0,1575.5712,126.98264,819.2513,0.0,2547.2888,168.39224,124.37697,89.386566,38.598972,244.61784,1,BIOKEY_16
BIOKEY_14_Pre,0.0,1575.07,2657.4958,1085.725,2797.1794,1907.5781,795.92664,439.8979,547.5314,0.0,1376.6819,271.1729,0.0,777.35345,94.40839,571.12134,1340.6698,648.7544,255.65189,142.81491,469.14398,0.0,255.94322,0.0,84.898796,459.80865,889.42584,41.857044,2290.9612,234.56824,1303.7039,1739.6056,1084.6339,1103.8575,7408.167,175.54028,84.898796,715.3369,757.07587,285.64203,681.5447,2106.45,3835.289,2224.576,117.758064,313.02994,349.67798,156.25392,233.43135,1524.5365,2142.9246,2667.122,102.67048,387.38702,2689.601,2589.449,1033.3425,306.19208,175.54028,396.56628,680.7232,301.21918,2124.2236,2954.3298,3395.7234,2635.104,1915.8068,6051.4004,0.0,939.22284,46.383564,170.05872,103.83702,31.116655,430.69876,95.504715,59.87757,13.949993,221.26607,217.46518,1449.2612,842.4307,929.141,152.00342,35.350147,104.84888,817.23285,103.75127,519.6524,61.728455,556.02313,31.65947,0.0,599.5101,1371.4534,2256.5337,388.52768,197.53662,401.48154,172.77928,258.12558,81.59998,1004.12683,271.72,560.7782,413.56226,2695.8154,2803.3196,2337.8132,207.36015,120.38623,140.86661,228.17097,437.07028,841.668,1651.7836,440.68646,141.58372,396.51868,201.36723,764.53467,558.96045,545.85675,582.2348,303.7314,170.85864,340.82764,328.30524,155.33769,1350.7151,166.15388,560.1539,1939.1411,366.4917,859.0564,1125.5739,118.16381,966.94806,520.0536,28.779713,1683.1069,216.30449,1089.7871,55.765705,1224.1329,138.14056,156.31535,70.35171,124.55555,356.8928,0,BIOKEY_14
BIOKEY_14_On,590.4257,1880.4427,3077.3008,1045.3457,3006.6245,1945.515,250.38081,1148.5785,1112.9717,255.65695,2546.6238,164.15366,949.2911,1795.4102,3182.1526,1456.0875,2879.5378,746.81213,295.4084,142.24252,80.76489,999.78284,376.21014,0.0,80.76489,853.2349,2280.3684,493.1889,1052.4193,319.1154,3303.419,2082.6875,2312.1533,945.00165,5957.0674,0.0,0.0,236.60582,508.01794,1037.9575,856.4074,3465.1216,5044.7407,1253.9783,215.43275,591.45514,958.45734,1466.5939,1090.9398,3048.4329,2683.6812,2866.574,83.929634,63.448235,3187.2517,1538.4211,372.33124,667.6562,448.3706,1638.3397,1201.9849,714.87256,2301.436,1259.7924,5777.9214,5635.741,4861.408,2380.544,901.82733,1272.444,307.61874,40.297047,1621.942,0.0,646.61646,369.91562,68.105385,0.0,125.65292,338.51358,1633.6182,1314.0397,1463.1864,221.2961,40.04202,109.91878,315.55777,85.5923,880.63684,0.0,573.7723,46.760002,0.0,1403.76,2350.5386,2565.4673,252.19182,356.1067,397.8401,744.6629,576.0716,119.747765,637.95026,658.7478,414.53702,200.7329,1997.7528,2159.1357,1452.584,104.89261,566.70807,367.19373,1125.1593,404.61258,1482.269,2180.035,295.11102,125.53877,596.10016,197.22539,1313.1271,1564.7137,661.96747,1711.7421,1060.2146,207.35898,333.28995,335.14343,229.06061,1658.881,393.80344,1188.093,2452.6619,1110.3226,1591.0243,1735.442,271.3455,2845.2078,1351.0721,81.5258,1981.62,345.89822,1073.9781,0.0,1209.4056,175.48601,83.413315,171.30197,36.304714,353.8618,1,BIOKEY_14
BIOKEY_19_Pre,0.0,2671.4507,2254.2307,1461.1969,1063.5287,1093.7852,924.066,990.77893,606.51385,0.0,1298.8768,423.07288,0.0,1031.0087,811.12476,427.00623,2543.2368,1779.1655,206.15915,0.0,563.941,304.45514,0.0,240.72491,68.311,510.61432,195.09596,206.15915,1646.3757,423.07288,1131.6603,1720.2958,821.30835,2495.6746,6083.1973,318.7179,372.58484,195.09596,865.37616,633.4605,509.90585,2232.6226,3246.3708,2695.3562,0.0,0.0,235.40936,212.65251,195.09596,1791.6648,2093.3374,331.59982,0.0,543.70825,2881.471,3252.419,427.00623,68.311,195.09596,957.7753,935.38995,167.09836,1871.2363,1933.8588,4543.2427,2220.9094,3208.112,6782.4756,0.0,1006.6631,25.12012,124.12229,488.12195,28.13366,575.549,456.52374,56.771164,38.878963,266.2149,302.72583,1848.4886,953.1774,754.4007,201.25658,70.28962,67.98979,868.8595,41.295662,868.812,12.464209,537.8038,9.286493,26.684748,570.2941,1394.7347,2532.343,116.46837,169.78806,541.7449,71.40228,385.98666,48.26752,683.1245,676.6771,642.61926,362.65567,2463.4385,2559.9504,2593.6558,160.37111,281.2864,230.14635,364.61426,99.36279,2535.8684,2040.6237,577.35425,115.41188,459.05405,167.41087,825.0793,971.20166,593.6572,915.46246,912.5447,170.6532,460.3306,114.72129,118.4888,1210.8888,145.07341,551.2035,1513.858,273.8553,810.6887,1079.8708,178.08832,1845.1453,568.7513,44.17428,1860.6725,230.12624,813.89825,46.361885,987.3832,78.03866,125.9922,47.339863,135.53122,247.44185,0,BIOKEY_19
BIOKEY_19_On,263.14462,1713.4922,2734.047,1021.8761,2021.4655,567.46063,234.65456,1269.722,966.6054,224.50278,1741.5123,150.77676,174.42813,1142.4619,1181.1998,1040.9658,2410.0537,682.7285,642.2356,175.58862,345.20145,216.72078,230.69145,41.009235,246.06099,834.5938,1362.7573,336.24603,957.48834,300.484,2193.1733,2507.4321,936.8355,1096.8779,4098.7954,0.0,69.42822,298.53815,1149.4858,1103.6917,1412.0303,2194.558,5063.1523,508.5588,103.33009,249.75383,686.12164,536.9332,160.13171,3291.2122,2317.8562,2020.9825,242.89427,47.368454,3341.481,697.0439,268.75125,200.61246,295.7996,1487.2976,630.084,524.4331,2372.923,1190.9448,5345.617,5545.797,3947.3027,2805.123,562.54974,1187.6935,182.44257,82.103584,1732.5245,0.0,736.36914,400.13272,56.087723,16.133406,218.04764,317.9279,2314.3596,799.25433,1036.1495,219.18295,32.670563,82.58243,646.70123,290.11768,1301.1218,15.472036,638.9489,94.007774,12.977649,586.47876,2110.2788,2669.9722,43.849598,356.6349,344.5365,469.44373,589.44275,87.50438,760.29395,456.2629,610.8583,340.35062,1794.687,2078.2856,1227.6377,89.081406,417.4722,336.01193,556.46967,288.53308,2545.077,2137.704,332.82376,157.62062,522.02545,167.95496,690.32587,1799.9304,572.40405,1701.4678,1123.8457,169.48773,487.65442,127.19336,112.398766,2040.4255,269.69547,611.8496,2763.5413,358.1571,1326.9961,1042.9901,393.08585,2343.6494,750.38635,15.407961,1978.6986,169.714,520.8631,13.291402,1622.5739,102.604095,86.6849,94.24884,149.63144,317.1669,1,BIOKEY_19
