sample_id,ANKRD28_T,ARID5B_T,ATF3_T,AZGP1_T,BCL2L11_T,BTG2_T,CBLB_T,CCNH_T,CD160_T,CD55_T,CH25H_T,CISH_T,CXCR4_T,CYTOR_T,DNAJB1_T,DTHD1_T,DUSP1_T,ERN1_T,FASLG_T,HLA-B_T,HMOX1_T,HSPA1A_T,HSPA1B_T,HSPH1_T,IER2_T,IER5_T,IER5L_T,IL6ST_T,IRF4_T,IRF8_T,MARCH9_T,MT1E_T,NFKBIA_T,NR4A2_T,OASL_T,PARP8_T,PELI1_T,PMAIP1_T,PRDM1_T,RAB38_T,RASGEF1B_T,RGS1_T,SAT1_T,SGK1_T,SYTL3_T,TNF_T,TSC22D2_T,TSC22D3_T,TXNIP_T,ZFP36_T,ZFP36L1_T,ZFP36L2_T,ZNF600_T,ACSM3_B,ALPK2_B,AMN1_B,CAVIN1_B,CCL4_B,CCR1_B,CCR7_B,CD2_B,CD200_B,CD72_B,CD9_B,CEMIP2_B,CENPM_B,CHI3L2_B,CNR1_B,CNR2_B,CR2_B,DNAJB1_B,EMP2_B,FASN_B,HAPLN3_B,HIST1H2AL_B,HSPA1A_B,IFIT1_B,IGHA1_B,IGHA2_B,IGHG2_B,IGKC_B,KIF20A_B,LINC01678_B,LINC01857_B,LINC02076_B,LYZ_B,MCTP2_B,MIR155HG_B,MYC_B,P2RY14_B,PER1_B,PTGER4_B,RASL11A_B,RGCC_B,SCML1_B,SESN1_B,SLC16A7_B,ST6GALNAC3_B,TBCK_B,THY1_B,TNFRSF10D_B,TPK1_B,ULK4_B,ZBTB10_B,ZBTB11-AS1_B,ZNF346_B,SIGLEC14_B,IGKV2-24_B,treatment,patient_id
BIOKEY_13_Pre,749.0292,873.4617,0.0,0.0,330.2801,993.3708,1148.2999,222.12978,0.0,763.7428,0.0,529.8578,3056.024,2480.8286,854.9682,0.0,649.931,0.0,1610.3523,10181.388,0.0,0.0,0.0,368.00845,2761.2842,0.0,0.0,200.54347,217.68098,0.0,0.0,993.5582,1407.8882,1484.3282,1582.5208,921.718,0.0,0.0,651.70795,0.0,396.46912,790.471,1067.1309,0.0,828.3844,2188.3452,200.54347,1446.1489,756.27954,3977.4253,2601.089,1790.472,0.0,0.0,0.0,306.8721,56.62061,261.89578,523.8344,888.38025,351.3665,50.720158,514.9815,747.5136,556.30817,351.5635,782.0076,202.86089,348.09995,967.88513,1694.2992,48.457214,68.84854,135.01668,124.653,412.0311,488.9676,3842.3198,1433.4594,2498.7944,5754.8877,0.0,199.95444,699.55725,0.0,144.19676,505.5649,854.1856,941.04016,140.14604,64.21557,239.80086,246.78969,1001.9903,0.0,509.57584,253.80301,134.46631,695.5697,170.82558,107.02084,378.24576,53.589363,57.81268,286.74506,187.66096,0.0,0.0,0,BIOKEY_13
BIOKEY_13_On,1284.7264,939.40594,0.0,0.0,876.38654,1203.1775,901.2996,661.19806,0.0,1350.0544,0.0,607.1901,3706.02,3141.7769,498.6982,367.04987,1409.2241,303.02292,484.15216,8835.992,0.0,259.89603,0.0,497.51437,920.4927,0.0,0.0,929.6417,597.1711,0.0,0.0,1458.0408,3591.6128,347.29413,0.0,1650.9733,294.1482,576.9928,1936.148,0.0,0.0,2270.5876,1802.1718,0.0,1044.0347,393.71756,0.0,4934.9365,4498.9277,4288.3037,1958.7886,5940.426,0.0,0.0,0.0,1320.0497,0.0,465.09042,0.0,2022.9987,219.53304,1055.8888,1799.7294,460.2582,1949.4958,658.98456,874.37726,463.5029,869.7535,1748.2386,823.9919,0.0,0.0,205.50595,274.85934,410.82242,0.0,2168.1865,698.6359,1095.8151,4150.4146,0.0,438.3958,1207.4718,0.0,479.11957,848.9855,927.7358,1328.709,201.6352,201.6352,658.4039,0.0,421.46475,213.94037,1148.0043,630.41425,213.94037,863.44196,0.0,624.0757,415.87207,424.84927,691.16815,201.73672,407.24268,218.12231,0.0,1,BIOKEY_13
BIOKEY_10_Pre,581.49133,466.69714,131.24062,316.25266,378.7034,1377.7662,1340.787,670.0362,216.13237,129.55864,0.0,848.23145,1123.1292,2065.6465,557.23395,0.0,779.9381,78.26351,1741.285,8360.815,333.67917,388.59036,228.03691,635.5045,2179.2305,291.3381,136.34113,175.12096,117.91012,125.39538,75.27333,652.498,1513.7751,1282.97,1663.8381,738.0647,679.8431,223.90056,694.6457,29.368391,413.325,2087.9236,1104.7036,64.39544,415.20938,721.1204,357.29947,1483.2115,1659.4668,2374.3933,3630.1628,3039.2292,310.56613,225.37411,0.0,90.52273,158.48605,384.5939,164.31491,304.30264,489.328,73.575554,0.0,1313.0073,226.00171,252.9335,257.6174,93.024704,247.2013,161.99258,1297.5308,147.69095,252.91516,262.30792,131.69193,805.879,831.2458,3378.0732,395.89438,6634.769,8065.039,0.0,153.01852,0.0,0.0,1449.3354,210.69876,458.83762,152.01611,80.23661,74.71342,95.53883,83.39429,2870.6545,66.89546,480.00998,312.96802,0.0,353.4705,296.08145,170.43057,451.1356,0.0,0.0,551.8491,391.94595,0.0,351.25238,0,BIOKEY_10
BIOKEY_10_On,1223.0477,1089.6744,423.84088,161.5037,594.40674,947.0334,2405.8938,627.97565,79.13092,355.5942,53.079082,377.364,2119.1304,2689.0984,2276.6174,64.80328,2522.3005,254.20258,1268.4895,7602.749,414.95892,1949.8651,1301.3634,876.53235,1703.3105,186.94876,88.932396,592.60986,382.31653,215.86307,54.13522,1051.1503,1935.0645,1529.1453,1112.9028,1031.0944,806.3626,559.62384,1904.2948,109.79036,108.07275,3932.6536,2002.3414,407.52094,862.4761,464.17157,188.66548,3936.9683,2076.351,3744.3743,2899.1492,4722.9097,239.03813,162.19649,74.055275,351.4564,80.56837,799.0326,226.62364,864.10956,436.9619,464.30945,1354.6875,863.42316,876.4854,628.6852,658.16785,170.11824,414.80807,607.7189,3262.674,81.71674,133.46681,330.2346,111.28384,2348.6704,161.04524,2736.7546,213.07117,3768.1897,5726.1753,16.849735,269.3707,965.6879,57.848854,2069.0325,636.8505,763.98944,1018.5564,175.66275,265.98953,478.3911,370.34265,1733.8896,171.12733,818.3519,445.8945,37.58682,492.89975,172.11586,157.54192,312.49313,142.84697,275.16104,187.54352,312.51614,21.72578,99.2906,1,BIOKEY_10
BIOKEY_16_Pre,476.21744,642.5223,89.12483,0.0,459.13324,1008.5916,1768.4633,473.45602,11.608496,163.36261,0.0,1189.4993,2054.6567,1805.0061,763.51874,320.97888,1456.0876,153.82544,1820.8798,9250.818,174.4938,242.07053,87.67989,649.5086,1531.8647,191.54977,81.98168,769.3987,233.95335,30.998865,27.228321,817.1725,1125.3055,2512.5076,1679.1962,1469.7826,344.34015,337.66193,958.5165,5.017576,176.93564,3521.363,2034.0879,228.77716,1090.1532,717.6983,213.0569,3063.6025,2530.368,3860.5408,3777.3875,4935.131,312.0504,82.699524,25.374205,242.50565,35.60577,487.56598,615.13617,518.866,459.18512,198.4168,312.79416,1242.8965,461.08508,285.43066,45.351757,86.20437,149.52025,140.03177,1434.9185,28.003223,234.54497,296.11304,102.60469,139.37535,1040.1025,2565.0132,377.91913,4722.3887,7372.28,36.528736,80.43136,444.42508,12.061086,127.93037,507.9765,885.4931,474.80026,28.392782,77.56826,160.30824,105.871475,2999.093,80.4083,376.7067,383.7242,0.0,364.91608,17.27873,71.39254,177.77519,24.818727,149.80663,179.57355,166.88348,42.972385,113.68555,0,BIOKEY_16
BIOKEY_16_On,1107.4954,901.09076,263.18494,12.817566,606.55194,727.91583,2032.443,834.50964,34.75151,323.7352,61.70941,986.81464,2434.635,2235.5378,1814.2571,280.42773,2667.9248,315.08377,1378.5424,7813.0645,304.75168,1315.8715,819.19055,861.12744,1434.0233,185.39684,73.291695,1033.8835,317.97842,40.69043,38.351685,1368.6981,2041.8348,1367.7466,1648.1036,1573.6777,626.3377,645.4023,1481.9646,19.506355,162.29773,3813.1335,2324.7761,452.53366,1249.0197,432.1705,160.90195,3895.041,3114.999,3614.737,2759.9236,5356.012,289.87,111.60394,65.03392,364.76514,30.217894,469.10248,531.03174,1348.0913,247.14256,513.1036,1426.9867,896.10583,1157.0758,320.26703,112.663635,198.83615,512.0532,708.3998,2837.3296,39.194004,187.38187,697.0142,172.93817,1350.318,839.8879,2124.4827,393.46906,2173.336,4494.821,72.50961,242.94704,1255.2666,51.754402,411.5688,611.62604,1206.9902,1396.2468,169.49008,278.60962,547.00195,383.27832,1494.6205,232.78416,842.7484,488.3646,147.83395,625.93866,0.0,193.4281,222.6676,206.34781,357.3395,126.31685,204.66522,235.22878,0.0,1,BIOKEY_16
BIOKEY_28_Pre,761.5143,582.972,118.18928,17.63805,366.39948,1678.0006,1638.9551,665.3648,85.752914,158.99535,0.0,712.1908,1671.1083,2219.3044,1311.268,31.53544,1967.5181,81.024895,1635.4974,8796.726,141.57109,582.75323,163.74182,457.18167,2539.954,107.85762,130.09987,329.0056,145.88655,34.101448,25.738832,845.68744,1184.4358,2519.7356,2270.9385,991.2363,338.563,209.3631,852.1524,0.0,233.82458,3660.9663,2265.4915,140.67451,1021.9229,1002.3657,285.3473,2860.0586,931.18756,3488.3704,3952.5376,5156.1274,246.5942,0.0,0.0,157.29129,166.10283,642.80133,456.7989,331.72244,594.86176,0.0,420.29245,888.6477,242.25371,0.0,200.22876,218.8041,0.0,0.0,1156.8727,0.0,0.0,0.0,0.0,0.0,1020.20856,3285.1077,137.40237,7944.069,9828.833,0.0,0.0,415.4805,0.0,0.0,383.9315,548.6599,771.8472,194.32007,550.5822,169.08624,196.28207,3271.9307,0.0,357.64868,562.5742,196.42812,199.6914,182.86409,0.0,196.42812,0.0,0.0,197.88538,0.0,0.0,0.0,0,BIOKEY_28
BIOKEY_28_On,796.3768,1087.6599,187.8757,0.0,530.062,987.5515,2170.4849,722.12054,10.832282,247.08517,32.13787,380.87848,2743.5178,3099.9653,1761.4194,329.6187,2550.8484,400.1671,867.15857,8474.127,475.16595,837.6231,413.96216,524.18176,1548.2366,100.86457,30.666618,559.01807,332.8183,245.12349,45.815845,2086.0864,2874.6714,1057.7032,936.3524,974.4532,771.07587,308.2904,2665.903,64.09907,89.189735,4594.1333,2209.8198,230.06587,1227.4562,521.64764,91.17996,3610.6716,2439.9363,4355.1074,2187.8706,5526.156,202.65814,230.8201,0.0,436.26794,0.0,949.7696,164.6345,2060.5774,233.84898,1606.8204,2925.1033,164.6345,2293.1934,448.37314,885.0298,241.4205,416.49814,1307.2032,2258.231,0.0,0.0,229.13118,207.32103,795.51245,198.71666,1567.1605,281.85904,2731.5974,5872.522,0.0,174.36049,2497.8079,0.0,959.0992,595.0118,966.28735,1380.7015,455.64044,641.1892,811.77264,644.92035,1492.7559,0.0,1516.8789,1180.0583,217.78146,239.31882,0.0,224.82034,385.46136,222.54703,806.22,0.0,184.56638,198.71666,0.0,1,BIOKEY_28
BIOKEY_15_Pre,428.85645,711.2312,104.84485,144.60924,348.28116,2073.5938,1266.7397,599.34973,105.64625,218.78734,16.761665,1106.3839,1154.2876,2326.0017,1233.3407,141.10802,1810.6885,228.42702,1786.9551,8540.421,97.04743,599.277,181.69814,531.7098,2556.0417,91.1663,71.14142,353.92993,252.55305,66.884995,34.1262,877.37756,2196.1284,1763.3226,2134.0737,1617.9655,199.23412,292.92685,630.8932,0.0,292.5841,2768.5703,1685.1378,235.71112,814.18097,989.15607,217.57481,1405.0504,1174.3389,3950.4827,3112.7886,4831.567,297.44635,77.25563,47.34446,479.1563,236.60257,147.27829,229.98763,1170.2692,387.5729,144.48671,917.8276,929.227,527.69556,287.10675,759.2483,236.13907,396.9037,646.2764,1739.3077,88.74943,330.7678,154.8936,82.67631,466.22382,419.9332,3513.2512,1279.9706,2590.449,5282.3213,0.0,266.21054,1218.096,0.0,118.882744,629.4569,1124.8846,820.703,47.434464,72.02694,382.95013,80.7845,1798.8824,43.34634,468.8208,367.50745,87.916595,360.84247,94.10633,121.95828,357.73016,217.51524,421.12973,246.68298,321.7456,143.49596,353.9756,0,BIOKEY_15
BIOKEY_15_On,820.06146,1213.7219,266.21506,14.922082,719.38776,919.4495,1778.5006,792.07513,89.2493,470.42255,93.48115,429.7413,3197.9905,2738.169,2110.9238,125.97084,3815.27,378.8963,1114.5814,8870.837,285.12738,1510.8682,981.8447,816.7641,2022.1826,38.69726,51.542114,858.04663,439.27002,65.51733,68.977486,993.19965,3131.4753,1247.9567,1558.567,1551.1052,614.8832,531.25024,1462.3949,22.787594,81.40826,4587.8735,1998.6971,395.60614,1439.5833,491.5243,188.74097,4855.4326,3073.4495,4903.2744,2131.351,5704.91,164.78487,158.69167,58.358597,968.6505,47.40161,454.2625,31.102474,3029.8757,301.16254,835.83704,3056.851,338.50784,2115.548,554.457,1187.3263,452.05463,1213.8159,1123.3304,3410.151,13.820672,156.16348,344.13376,79.21221,1366.9985,326.1965,2448.968,594.12,829.7581,3003.4524,29.69486,384.1101,2851.1755,45.697475,279.1596,846.32837,1236.8091,1999.451,352.77475,400.93027,890.2938,321.88913,413.08432,238.46103,1357.1576,381.42133,244.5842,573.1165,14.962798,417.98734,612.5562,444.14975,500.18243,173.0531,449.21585,315.1597,196.80583,1,BIOKEY_15
