sample_id,ANKRD28_T,BCL2L11_T,CBLB_T,CCNH_T,CD55_T,CD82_T,CH25H_T,CISH_T,CXCR4_T,DUSP1_T,ERN1_T,FASLG_T,FRMD6-AS1_T,HSPH1_T,ID2_T,IER2_T,IER5_T,IER5L_T,IL6ST_T,IRF4_T,MARCH9_T,MT1E_T,NFKBIA_T,NR4A2_T,PELI1_T,PMAIP1_T,PRDM1_T,RGS1_T,SAT1_T,SGK1_T,SLA_T,TSC22D2_T,TSC22D3_T,TXNIP_T,ZFP36L1_T,ZNF600_T,ADAM19_M,AFF1_M,ALPK1_M,ANKRD53_M,ANTXR1_M,AREG_M,ARL2BP_M,ARRDC4_M,ARSK_M,BBC3_M,BCL2L11_M,BLOC1S1_M,BMPR2_M,BNIP3_M,C16orf95_M,C4orf46_M,C6orf89_M,CCDC174_M,CCR6_M,CD55_M,CD58_M,CD6_M,CDC123_M,CDK5R1_M,CERS4_M,CLK1_M,CLN8_M,COMMD5_M,CREB3L2_M,CSF2RB_M,CXCR3_M,CXCR4_M,DDIT4_M,DNAJB1_M,DNAJB4_M,EIF5A_M,EMC9_M,ENO3_M,F2R_M,FAM110A_M,FAM168B_M,FAM173A_M,FKBP5_M,GAB1_M,GABPB1-AS1_M,GALNT2_M,GNB2_M,GOLGA3_M,GOLGA7_M,GPR183_M,GRASP_M,HELZ_M,HERPUD1_M,HPS1_M,HS3ST3B1_M,HSP90AB1_M,HSPA1A_M,ICAM3_M,IL10RA_M,IMPDH1_M,IP6K2_M,KLF9_M,KLHL6_M,KRBOX4_M,LAT_M,LCK_M,LINC01970_M,MADD_M,MAGOH_M,MAN1A1_M,MAP3K1_M,MAP3K11_M,MINDY2_M,MLEC_M,MMP14_M,MOAP1_M,N4BP1_M,NEAT1_M,NOD2_M,NOTCH2NL_M,NUCB1_M,NUP37_M,PARP1_M,PDIA3_M,PDIA4_M,PDPR_M,PER1_M,PICK1_M,PIGF_M,PKN1_M,PMAIP1_M,POLR2H_M,POM121C_M,PPP1R10_M,PPP1R21_M,PPP2R2D_M,PPP2R5C_M,PROCR_M,PSMB10_M,PSMB7_M,PSMD11_M,PTGS1_M,PTPN9_M,RECQL5_M,RFXANK_M,RGP1_M,RHBDF2_M,RICTOR_M,RNF125_M,RNF144B_M,RUSC1_M,RWDD2B_M,S100A4_M,SCO2_M,SEC22C_M,SEPT11_M,SERINC1_M,SIGIRR_M,SLAMF7_M,SMIM3_M,SNIP1_M,SOCS1_M,SOCS7_M,SRGAP2C_M,STAMBPL1_M,TAF8_M,TBL1X_M,TIFAB_M,TMEM14C_M,TMEM185B_M,TMEM68_M,TNFSF12_M,TSC22D3_M,TST_M,UBE2E1_M,VPS37B_M,VPS37C_M,ZCCHC4_M,ZFP36L2_M,ZNF160_M,ZNF408_M,ZNF691_M,treatment,patient_id
BIOKEY_13_Pre,749.0292,330.2801,1148.2999,222.12978,763.7428,1442.3235,0.0,529.8578,3056.024,649.931,0.0,1610.3523,0.0,368.00845,3351.5007,2761.2842,0.0,0.0,200.54347,217.68098,0.0,993.5582,1407.8882,1484.3282,0.0,0.0,651.70795,790.471,1067.1309,0.0,1123.9794,200.54347,1446.1489,756.27954,2601.089,0.0,87.66301,119.85529,60.099125,0.0,4.9449306,95.83639,96.10052,0.0,0.0,34.303654,47.962055,64.8558,24.768145,32.063496,5.344977,24.45034,96.24187,58.5343,59.270863,174.30219,146.97054,35.26139,92.167854,0.0,31.298845,90.02992,86.03313,73.91279,50.30471,112.03257,116.85749,388.8238,176.00476,111.819855,0.0,319.8999,28.461988,40.649372,0.0,23.045555,38.38086,157.40529,120.17498,27.33377,97.40485,84.2415,226.69696,24.96507,100.27672,339.0684,96.35664,128.68584,575.4513,197.36919,48.591927,585.3531,81.11972,150.79279,290.227,84.049446,83.277985,10.267107,60.66283,25.189072,36.33659,20.487503,10.607977,42.461983,151.78502,103.296715,111.083664,85.66502,53.59562,267.16122,33.689945,25.172523,40.124016,516.60565,21.461279,23.695074,244.56097,40.092056,181.82301,461.54858,159.05984,48.07634,38.3235,27.967964,61.679123,73.93559,91.27296,68.598076,33.455387,207.03172,30.652693,17.040771,90.970245,15.965619,310.78763,165.92897,111.414116,47.663315,53.12971,0.0,27.293972,26.175526,35.073696,79.05436,57.60255,137.4783,32.28045,12.363634,798.8661,49.471855,59.64195,79.12664,169.29274,133.2725,146.08405,59.154957,12.087549,67.278046,10.026277,22.442596,6.4647512,38.01079,62.08942,111.24121,388.32193,48.5473,30.40157,16.921724,376.25876,44.206635,119.3344,7.744554,5.825527,12.508541,499.95288,21.125725,0.0,7.43942,0,BIOKEY_13
BIOKEY_13_On,1284.7264,876.38654,901.2996,661.19806,1350.0544,1130.5338,0.0,607.1901,3706.02,1409.2241,303.02292,484.15216,0.0,497.51437,2486.177,920.4927,0.0,0.0,929.6417,597.1711,0.0,1458.0408,3591.6128,347.29413,294.1482,576.9928,1936.148,2270.5876,1802.1718,0.0,1620.4269,0.0,4934.9365,4498.9277,1958.7886,0.0,160.50401,152.2555,84.4523,0.0,0.0,733.388,40.376396,0.0,0.0,0.0,81.59485,188.65448,0.0,0.0,0.0,0.0,44.07591,112.25626,44.07591,204.57994,139.04582,0.0,101.811165,0.0,0.0,187.69315,69.34686,44.07591,42.9094,112.59876,112.59876,961.79095,440.4681,223.85698,0.0,374.91797,0.0,0.0,0.0,0.0,0.0,77.969894,404.73926,81.59485,151.55635,147.31677,107.32661,44.07591,42.9094,646.798,205.48541,42.9094,749.24005,180.3789,77.969894,726.8845,178.3215,120.879295,255.5428,64.41722,0.0,275.33072,141.25925,44.07591,0.0,0.0,0.0,0.0,112.59876,122.04581,44.07591,69.34686,0.0,118.34629,0.0,0.0,0.0,783.9917,0.0,0.0,419.7415,0.0,224.47786,599.3377,190.56865,42.9094,519.0001,0.0,42.9094,44.07591,0.0,44.07591,77.969894,235.57526,0.0,0.0,145.74507,0.0,390.7062,171.15802,186.12148,0.0,44.07591,44.07591,44.07591,0.0,122.04581,154.75584,0.0,494.97263,0.0,0.0,451.94284,0.0,0.0,111.013916,195.88455,84.4523,340.0807,67.803185,0.0,94.96992,0.0,44.07591,0.0,42.9094,42.9094,101.811165,348.57184,0.0,0.0,0.0,589.0896,42.9094,77.969894,0.0,0.0,0.0,936.201,42.9094,0.0,0.0,1,BIOKEY_13
BIOKEY_16_Pre,476.21744,459.13324,1768.4633,473.45602,163.36261,1382.2777,0.0,1189.4993,2054.6567,1456.0876,153.82544,1820.8798,3.6143985,649.5086,3582.7532,1531.8647,191.54977,81.98168,769.3987,233.95335,27.228321,817.1725,1125.3055,2512.5076,344.34015,337.66193,958.5165,3521.363,2034.0879,228.77716,1780.894,213.0569,3063.6025,2530.368,3777.3875,312.0504,101.42094,132.9651,59.944572,2.8409457,0.0,154.09204,67.80449,19.252016,22.88113,18.5944,64.71973,52.58828,94.60626,38.97739,3.9426522,17.67398,81.52142,46.941322,59.094543,250.96568,105.97147,32.1659,73.71914,22.742886,22.255312,172.18611,127.91205,49.87376,82.36277,240.07193,150.55951,395.9645,155.03833,54.298695,3.924814,184.07004,41.94074,13.359889,5.5304446,62.59199,27.4117,90.67285,239.496,34.892582,54.392357,130.71649,294.7179,64.924416,129.74396,511.45093,68.94629,122.26841,687.7072,178.64117,43.942028,533.9332,47.854206,97.01736,305.464,54.67773,77.58299,24.2563,131.9807,26.361723,37.055607,28.377785,12.875085,49.337845,165.71185,54.304348,104.812935,90.79372,68.11374,248.97203,22.625921,29.44559,73.987404,475.52032,53.25038,68.17145,163.26318,30.269041,174.92354,392.87244,131.45245,67.46778,32.164604,11.098677,64.36568,86.05871,52.45153,94.57899,17.465244,154.28069,71.93203,21.83076,114.1443,5.735423,305.37076,133.13599,113.289696,33.32838,33.21302,65.55533,49.655693,46.74134,101.604744,94.51057,36.1719,175.446,33.781425,20.439306,507.35474,108.22562,128.27353,89.77368,125.77836,33.721928,261.66592,72.153275,28.854063,194.06282,19.43095,32.25807,56.221153,25.904152,42.00739,87.01654,224.25577,55.950108,49.090603,44.695118,278.58978,10.310317,165.7099,13.236721,13.545148,19.379034,504.485,30.472733,7.6089597,33.91238,0,BIOKEY_16
BIOKEY_16_On,1107.4954,606.55194,2032.443,834.50964,323.7352,1554.3947,61.70941,986.81464,2434.635,2667.9248,315.08377,1378.5424,15.84303,861.12744,3329.4421,1434.0233,185.39684,73.291695,1033.8835,317.97842,38.351685,1368.6981,2041.8348,1367.7466,626.3377,645.4023,1481.9646,3813.1335,2324.7761,452.53366,2183.611,160.90195,3895.041,3114.999,2759.9236,289.87,160.87848,160.46169,79.928246,23.094439,0.0,371.2063,77.86013,17.538897,17.673151,6.20023,107.52998,97.42931,65.09621,12.413801,1.5545452,17.084469,52.78754,56.297997,19.764648,263.26434,81.57235,0.0,105.82155,12.857074,22.094778,254.56003,261.6801,35.400856,165.96198,266.0266,331.06882,609.3068,460.41162,258.4183,105.37968,266.69196,35.87665,20.49308,0.0,52.43682,32.65599,73.733665,406.8239,130.98901,122.921265,120.66815,359.07336,86.98507,109.968445,533.1925,177.85545,91.20501,688.01917,154.04242,62.56537,584.0603,483.2321,102.017395,268.44833,42.075687,78.18615,67.61291,194.25423,30.735813,3.420745,3.7852504,47.44593,38.254635,123.856865,112.28902,71.02577,86.783775,43.209465,184.4991,14.197703,12.771773,41.853687,769.511,18.098024,34.71002,233.24103,25.557196,179.6286,400.54944,199.81548,34.972313,135.05087,23.310772,67.99278,49.361637,194.95435,74.015434,52.936146,243.5124,56.793674,29.470432,114.213905,3.031724,307.16547,122.854095,135.37914,16.268015,30.341827,124.331665,74.6779,19.754993,200.9559,115.66788,13.905666,280.9275,24.622078,19.192226,504.7561,88.58564,38.477127,100.52759,140.89174,52.413204,252.10966,161.38322,30.870476,492.22098,3.3142393,73.94354,102.05956,68.8913,20.663246,68.59364,181.65443,39.011776,21.151108,28.734907,523.16077,10.168428,148.2186,4.202515,13.159744,5.6230106,717.6899,37.58056,6.1999917,17.017277,1,BIOKEY_16
BIOKEY_28_Pre,761.5143,366.39948,1638.9551,665.3648,158.99535,2016.0013,0.0,712.1908,1671.1083,1967.5181,81.024895,1635.4974,7.9289784,457.18167,2988.82,2539.954,107.85762,130.09987,329.0056,145.88655,25.738832,845.68744,1184.4358,2519.7356,338.563,209.3631,852.1524,3660.9663,2265.4915,140.67451,1520.9083,285.3473,2860.0586,931.18756,3952.5376,246.5942,216.05925,69.640854,26.375399,0.0,0.0,123.25472,71.68325,21.124056,0.0,22.228512,72.33004,212.50056,56.81627,51.57616,0.0,14.391511,59.79728,22.516907,32.36844,102.953835,91.967804,0.0,72.25083,0.0,44.811287,155.42249,87.86931,55.610096,50.34319,243.3942,85.72581,208.42471,203.00233,99.629875,0.0,358.22168,101.050285,65.05275,0.0,89.58077,49.560722,99.45706,214.11995,11.905398,92.358025,18.219563,424.34952,16.209274,100.774635,262.68607,33.375607,102.79705,465.12512,191.27441,50.504963,564.44543,104.995186,108.77691,335.9487,127.07799,67.38897,13.051768,157.21548,0.0,21.124056,0.0,0.0,67.38897,130.39252,96.53465,98.52135,140.53363,72.29761,286.87833,30.847368,38.747566,16.209274,589.2571,56.30486,61.466213,228.31586,16.209274,115.3981,389.87015,144.66327,79.24013,14.391511,28.560326,105.93182,119.49044,64.63997,108.330444,19.759687,199.76172,103.35793,50.504963,86.92773,13.051768,333.621,76.80497,114.61549,54.775215,65.68344,0.0,14.391511,67.355,192.28235,75.03583,16.076124,146.19374,65.46874,30.932472,775.6044,167.37955,54.145824,124.2755,86.328995,110.96339,163.39978,25.518045,52.000984,156.63007,30.589191,0.0,103.21964,39.343613,16.654924,69.27597,370.2841,28.114672,52.49443,50.896507,394.0772,27.513924,131.4347,40.095585,31.69365,44.811287,313.36563,38.72618,22.228512,28.114672,0,BIOKEY_28
BIOKEY_28_On,796.3768,530.062,2170.4849,722.12054,247.08517,1740.6116,32.13787,380.87848,2743.5178,2550.8484,400.1671,867.15857,17.577108,524.18176,2307.1438,1548.2366,100.86457,30.666618,559.01807,332.8183,45.815845,2086.0864,2874.6714,1057.7032,771.07587,308.2904,2665.903,4594.1333,2209.8198,230.06587,2138.0168,91.17996,3610.6716,2439.9363,2187.8706,202.65814,354.1793,92.05306,45.084335,61.91804,0.0,391.4057,69.451164,2.6528916,10.1839695,12.093664,178.75403,236.30098,32.2899,22.934004,0.0,3.9174643,60.941273,68.53334,6.6729946,307.6188,27.481295,0.0,80.15098,68.32491,22.868021,238.00645,332.91702,30.421556,148.3851,388.95135,371.56732,772.8619,545.7704,101.28245,48.108414,347.99066,47.898296,5.3722887,0.0,42.223125,31.497599,84.0402,215.51842,109.87819,89.98139,95.07639,316.845,94.0931,81.883026,705.3332,254.8906,56.516617,778.1009,114.89211,79.29502,576.3699,58.919502,82.224754,286.5312,59.033276,51.032845,63.506058,168.9023,17.047928,4.054472,10.474483,12.317605,32.98193,109.72835,175.14923,100.382996,119.92685,60.26974,204.07195,6.882969,29.878172,30.152569,678.87384,20.541447,42.174175,246.0689,12.810339,133.75616,404.18893,184.02155,42.343094,228.60205,6.4688253,68.505684,103.985,204.23335,98.12091,50.09102,226.67542,74.131454,43.56817,163.97917,0.0,339.9429,123.05223,148.88234,15.717458,16.498243,77.40816,57.480343,34.142147,179.38702,105.02378,16.430922,188.4291,34.18359,15.171008,630.072,127.01961,53.347733,183.35104,159.15929,76.15738,233.96597,271.22006,19.77225,511.80966,4.054472,18.080729,143.27605,55.257618,2.0277865,68.08113,205.88434,12.66834,7.3082786,21.574615,480.85986,3.817066,114.4108,10.70028,13.940417,16.179264,800.8247,71.39804,11.600913,2.3855376,1,BIOKEY_28
BIOKEY_15_Pre,428.85645,348.28116,1266.7397,599.34973,218.78734,1801.4657,16.761665,1106.3839,1154.2876,1810.6885,228.42702,1786.9551,0.0,531.7098,2492.664,2556.0417,91.1663,71.14142,353.92993,252.55305,34.1262,877.37756,2196.1284,1763.3226,199.23412,292.92685,630.8932,2768.5703,1685.1378,235.71112,1259.5425,217.57481,1405.0504,1174.3389,3112.7886,297.44635,176.82288,59.693905,41.314598,8.082601,7.7518344,143.8921,125.35513,24.544577,0.0,11.300793,62.267696,131.90137,63.981663,24.415329,4.8078613,28.765213,57.61803,46.794807,54.501225,213.4961,182.20683,30.477072,104.23651,3.5158188,27.060577,134.5392,63.32132,64.4337,50.31512,160.57094,102.07846,277.6774,205.36934,142.55402,2.4671555,410.0581,43.56585,64.54054,4.309328,72.90448,47.18926,132.97314,67.322075,28.433481,22.894793,46.64985,442.74625,50.222828,132.4139,277.6497,93.869385,76.62681,433.0904,217.63737,51.643986,512.25037,95.361664,169.15108,278.78323,148.89539,67.96588,5.216565,67.05165,20.033733,34.69378,31.704447,0.0,64.04648,176.1685,49.01645,108.846924,154.88162,27.859695,199.51637,41.154324,39.1252,53.642406,437.4505,22.547121,27.655258,195.67969,30.24264,152.2732,364.62408,144.03735,51.979706,37.054413,27.688848,59.615273,109.57549,91.86391,87.20022,28.354687,129.78506,67.84757,41.048462,70.64283,21.740826,406.59256,115.19464,134.68886,67.07018,67.221085,50.514996,54.086002,41.197556,138.02425,38.583958,23.37945,87.26316,56.052628,16.588,653.7124,140.19788,53.31718,115.26481,88.781586,147.06654,175.97029,62.73295,19.850952,197.43939,4.888383,39.121387,50.949486,39.18812,38.85911,126.071594,367.351,26.760805,28.156982,38.183933,194.63797,37.785892,153.15826,28.031162,27.38641,13.360284,388.31662,34.572517,20.310188,21.110865,0,BIOKEY_15
BIOKEY_15_On,820.06146,719.38776,1778.5006,792.07513,470.42255,1673.1366,93.48115,429.7413,3197.9905,3815.27,378.8963,1114.5814,9.2834635,816.7641,2820.4675,2022.1826,38.69726,51.542114,858.04663,439.27002,68.977486,993.19965,3131.4753,1247.9567,614.8832,531.25024,1462.3949,4587.8735,1998.6971,395.60614,2513.4343,188.74097,4855.4326,3073.4495,2131.351,164.78487,136.72252,86.4607,47.072,36.874817,2.187395,378.34653,77.79775,4.3825207,9.51101,8.261389,93.57916,122.07565,44.264202,4.905082,3.9248242,17.602459,68.11745,63.4168,23.449062,289.79074,143.00049,13.142939,143.71736,37.768196,11.649428,167.4091,236.18057,65.03366,107.290115,218.99666,223.83104,542.328,431.1415,218.96988,53.04737,448.66727,13.969553,21.78655,0.0,43.007877,25.363071,93.57269,374.4954,74.891,85.854,79.0464,300.3587,72.24162,116.184044,514.4699,179.12485,55.628555,589.69183,160.06664,85.94053,641.9756,339.93137,115.55227,220.4465,83.8324,35.80024,89.83471,109.89972,29.902395,14.342886,14.992278,12.715211,32.544254,163.87752,76.84322,38.781666,152.34943,14.851033,133.79694,18.62185,15.992771,27.963066,533.705,10.938563,20.93185,311.66574,27.740177,185.63043,517.3001,247.33038,30.782791,188.23114,26.21991,47.411076,80.31975,104.35381,65.65368,28.678394,157.09251,55.19888,23.427832,88.97977,9.911665,437.84073,170.28827,151.9664,55.92482,14.405762,53.134636,83.88167,23.484892,122.92614,83.812744,16.358444,212.22844,42.349865,21.600657,562.31647,91.11553,33.598915,112.43187,113.04994,84.06775,219.01656,158.70236,10.013791,212.57704,2.717728,39.983604,72.48502,59.617405,7.999438,111.92513,252.53044,10.173473,16.313051,21.856653,595.1802,28.598965,158.27367,15.923415,19.896763,7.0499864,675.02625,44.86977,3.5510983,20.471285,1,BIOKEY_15
BIOKEY_5_Pre,479.8222,466.26373,2118.8674,553.8667,310.0307,1506.5986,0.0,277.0818,1970.2802,2413.603,197.22774,1748.0137,43.160473,272.70798,3646.136,3226.9934,132.94,106.71955,682.2812,264.1809,72.18903,1028.0984,1464.0005,3112.1453,317.3547,206.15639,1053.1213,1905.8171,1749.6796,214.90512,2176.0112,335.8603,3293.656,1238.716,4149.78,170.66649,182.57103,82.40916,79.55975,7.318667,4.679232,116.100845,94.632744,12.787742,7.189212,21.308918,65.33073,92.425705,38.103294,19.722704,3.8634233,0.0,85.3041,98.90285,39.139828,151.7425,98.63633,54.66772,36.31629,9.419069,17.382015,153.46165,145.79877,119.866684,109.23042,233.90677,200.63274,306.932,260.95447,67.411194,15.349988,369.98853,26.079903,32.589176,0.0,88.16043,63.835636,118.9203,162.79388,53.28396,45.05994,62.281536,462.45996,26.258165,101.214615,245.65575,69.40251,126.51742,557.15717,214.68228,71.11609,538.0698,33.276085,128.97052,225.34953,95.703674,73.96568,46.7283,150.18054,18.841269,48.759773,16.998808,4.6618166,44.797913,164.89221,46.34537,77.812195,179.65764,38.550663,204.5033,29.57858,37.083973,49.095886,330.83444,20.587376,17.873644,234.58734,23.659122,109.43492,318.00223,242.2463,51.24422,15.077356,10.961202,84.01615,103.13758,47.97915,134.73914,51.87182,112.28407,64.69207,35.190697,110.41539,3.183258,318.93652,119.16501,124.44232,25.563572,52.553497,79.8972,46.82295,38.5088,162.0125,108.41495,37.30983,86.50038,28.851103,21.166233,521.3106,79.71594,81.25145,88.31323,64.60785,124.230095,233.14726,79.03226,31.806255,120.90159,14.001065,39.83248,45.59145,46.223606,40.269436,141.86925,237.45172,40.525803,21.139185,47.355976,259.6241,27.857244,107.11645,18.270561,31.921955,23.730381,477.55917,36.27763,21.13897,22.415272,0,BIOKEY_5
BIOKEY_5_On,1264.8054,885.7615,2481.791,1134.5599,562.89856,1135.5522,45.79556,80.615005,3771.6394,3178.2944,541.80817,657.6701,55.234604,465.0886,2856.4468,2249.5745,54.68562,45.45922,1237.9948,590.4507,76.512566,1323.714,2821.6133,2256.8838,848.57666,479.23758,2373.2,4347.824,2350.8196,229.9105,2004.8885,207.99117,5510.265,1938.4922,1941.0999,124.497894,270.50458,84.086914,105.253426,36.240906,0.0,486.25058,58.98155,0.0,19.261358,0.0,213.9695,229.7207,16.054771,22.977217,0.0,0.0,22.866098,100.754005,0.0,187.77036,81.95876,22.977217,35.31613,75.88608,0.0,186.08945,234.74641,43.672253,189.32304,263.80078,203.09215,613.2435,373.33072,345.01245,93.032364,435.67337,22.866098,0.0,0.0,19.261358,33.93378,124.249855,293.629,64.00684,74.37425,63.85838,402.47113,69.7779,64.0592,606.84937,224.01392,0.0,688.6949,199.83034,77.91416,563.7437,351.21036,26.105654,222.39522,70.73144,30.640785,138.35487,200.17513,26.105654,20.344263,0.0,22.977217,0.0,135.78963,125.15962,43.32148,163.91927,0.0,166.80176,16.054771,0.0,0.0,735.1809,0.0,0.0,214.04143,16.054771,206.50273,468.58847,258.4468,0.0,219.54408,0.0,36.240906,60.031494,212.96724,80.67951,51.671135,112.45059,45.496487,0.0,169.38002,0.0,435.8154,121.884926,190.9392,16.054771,17.87901,75.42136,51.430363,0.0,236.00623,159.5257,0.0,226.19238,0.0,0.0,492.38397,64.0592,0.0,141.67332,122.43933,110.72842,311.2398,222.10298,0.0,401.89984,0.0,58.01423,64.22733,89.96404,0.0,64.323364,173.65051,0.0,0.0,19.261358,748.1816,20.344263,88.856834,0.0,16.054771,0.0,635.0069,60.493378,0.0,0.0,1,BIOKEY_5
