,pval,log2fc,pre_mean,on_mean,qval
ABLIM1,0.025059260568001424,-0.37366232,186.39362,241.4986,0.29654974382908106
AC004687.1,0.000336263097400131,1.4521811,614.33386,224.51965,0.051363891780686795
AC004817.3,2.9077389914655318e-05,-1.1798321,153.081,346.8056,0.017324511019253367
AC005224.3,0.0021248874352529624,-1.62881,32.358864,100.07231,0.09488976165720268
AC016596.1,0.0036525714782792693,-5.0785623,0.9659811,32.64136,0.12773407381617527
AC023157.3,0.01289397230148752,-1.5102386,34.570747,98.47725,0.23474841980882713
AC087741.1,0.013026031888854485,-1.4328016,11.606546,31.334248,0.23534237845312178
AC104506.1,0.006194491323195415,-1.0907328,7.4744186,15.919181,0.16851776603062782
ACACB,0.0472248193566553,-0.9717535,26.13999,51.266346,0.40428410350488886
ACVR1B,0.04378679156213856,-0.76472634,33.300762,56.579582,0.3940457721990137
ADAT2,0.015067665515894519,-0.7607195,94.55242,160.20352,0.25085592747528174
AL031775.1,0.0322811474017178,-2.9376903,1.3985718,10.71563,0.3441559523882689
AL355488.1,0.029575881147965825,-1.0271473,14.511057,29.573397,0.3286377025101051
AL359834.1,0.012365088877486689,0.656425,527.81946,334.87427,0.23412431849484178
AL627171.1,0.0010959660173286679,-2.3131492,22.461393,111.62564,0.07671323726455803
ALOX5,0.014490076198645509,-1.7380152,16.964205,56.5885,0.25085592747528174
ALOX5AP,0.006070632653649318,0.15541984,3714.9624,3335.5571,0.1670685869020934
ANKAR,0.04851133881462955,0.5812547,144.78442,96.77134,0.4085980008562305
ANKRD28,0.001996849022482201,-1.4147879,276.77826,737.9477,0.09316733987008692
ANKRD55,0.027664036360682,-0.7461504,127.569664,213.97403,0.3117852379895628
ANTXR2,0.040769015160501285,-0.6992277,192.37122,312.3407,0.3859664085204029
ANXA1,0.01963815494423965,0.32127523,942.9008,754.6621,0.27250081326204706
AP1M2,0.04477958278102978,2.8389912,31.835709,4.4493136,0.39843520337415844
APOC1,0.019512828488619877,-0.92867184,114.42705,217.81448,0.27250081326204706
AREG,0.0026300510760487662,-1.7920922,126.10623,436.727,0.10061949944083491
ARID5B,0.009746026657847786,-0.5318001,1339.315,1936.2904,0.2122562801617218
ARRDC3,0.021798467778763958,-0.7529297,101.8853,171.69829,0.28504057800776017
ASPM,0.04272258860141766,-0.37985313,283.37665,368.73236,0.3904065469095443
ATF3,0.01711002423563278,-1.3140965,53.180485,132.23145,0.25469053006955705
ATP10D,0.019492172320988495,0.6437141,403.03662,257.96884,0.27250081326204706
ATP1B1,0.018180523715463158,0.7927754,239.91025,138.48401,0.2628887364514786
ATXN1,0.024259320395291318,-0.33014694,713.82245,897.37573,0.29444441145437134
AZGP1,0.016355638391108755,1.6281449,291.85046,94.41477,0.25341270625118106
BATF,0.0013651622605625662,-0.36453462,2181.4224,2808.5076,0.07880607797107113
BAX,0.002678325801189529,-0.25554174,1472.4326,1757.7664,0.10061949944083491
BCL2L11,0.007511247557541935,-0.72347826,178.7909,295.21204,0.1888245030674396
