,pval,log2fc,pre_mean,on_mean,qval
AC002467.1,0.004853665375846585,1.2091435,6.123096,2.648394,0.5337581194239903
AC005224.3,0.0069176854045375205,-2.0171127,1.747705,7.074236,0.552617129516212
AC009237.14,0.003340557023674985,-1.206299,0.9513536,2.1952002,0.5206987876775623
AC016596.1,0.002001692607414859,-1.6197008,0.654976,2.0128152,0.4349765697966437
AC093297.2,0.004607768191014777,1.9992646,6.4892087,1.6231294,0.5337581194239903
ACRBP,0.001487972396055691,-0.83174103,14.867205,26.461126,0.39807098179876527
ACSL1,0.0062249018112797245,-0.46555582,162.4589,224.33124,0.5337581194239903
ADPGK,0.0016526298914565905,-0.19232424,199.46907,227.91396,0.4175882184849133
AGAP4,0.0008636997232503462,1.1607325,8.029482,3.5914698,0.32544487450028764
AIMP1,0.009426555529022811,-0.33582032,101.55043,128.16628,0.6486530393653389
AKIRIN1,6.954510484967794e-05,0.54399115,92.57028,63.491257,0.15305517762321863
AL138724.1,0.004492673271711634,-1.0203325,3.7748384,7.656831,0.5337581194239903
AL157392.5,0.008568125660375993,-2.6571434,0.49446976,3.1190302,0.6285589751099872
ALDH18A1,0.0041958925604272165,-0.8566168,10.018802,18.141914,0.5337581194239903
ALOX15B,0.0006883453286506458,-1.403423,16.380848,43.332005,0.31527898084324224
ANKLE2,0.0008179144307892783,0.20324777,71.31304,61.94201,0.32544487450028764
ANTXR1,0.0012396237999200321,1.2266101,24.700933,10.555212,0.3806748279130477
AP2B1,0.008002469700396682,0.4094294,96.615944,72.74419,0.6046570571014153
APOL1,0.0006988949016538795,-0.52448744,63.328735,91.093475,0.31527898084324224
ARHGAP5,0.004487451705057433,0.55078894,47.143692,32.182487,0.5337581194239903
ARMC1,0.003958286823977917,0.5678941,66.07246,44.57253,0.5337581194239903
ATP1B3,0.0006761900408026283,-0.38842276,177.98224,232.97192,0.31527898084324224
ATP5F1C,0.005787209856923297,-0.2516456,276.20667,328.8418,0.5337581194239903
ATP9B,0.005114016181128607,0.27360654,49.584568,41.018784,0.5337581194239903
ATXN7L2,0.005754983096603044,1.5070058,6.525834,2.296054,0.5337581194239903
BCL6,0.00027604294463265286,-0.4277397,44.58386,59.97084,0.2652234947691143
BRD3OS,0.0013254162474387082,0.73081714,10.494526,6.323608,0.38093607769588894
C6orf62,0.0005473166491540473,0.3693954,272.89066,211.24652,0.3142270246932086
CASTOR1,0.004831684081004769,-0.9346159,3.3723824,6.44591,0.5337581194239903
CBX6,0.0033911914445892894,0.9500524,62.608982,32.407265,0.5206987876775623
CCL8,0.008104937729471332,0.53375083,299.43076,206.83374,0.6046570571014153
CD163L1,0.004384655053571786,0.98312825,28.986341,14.663657,0.5337581194239903
CD40,0.0053378995537326,-0.29482916,190.1712,233.29056,0.5337581194239903
CDC42EP3,0.00660967648641291,-0.5586225,21.214874,31.246586,0.5452526661087647
CEP68,0.00611359116220859,-0.89736205,13.477753,25.104431,0.5337581194239903
CFLAR-AS1,0.0013847157541891223,-1.9866117,0.94559014,3.7474222,0.38093607769588894
CH25H,0.00020436593975401557,-3.355549,3.600989,36.858932,0.2652234947691143
